location,latitude,longitude
Agripada,18.97504,72.8250555
Andheri East,19.1158835,72.854202
Andheri West,19.1172495,72.833968
Bandra East,19.0616565,72.8498111
Bandra West,19.0598331,72.830385
Bhandup East,19.1378308,72.9361964
Bhandup West,19.1462636,72.9339461
Bhayandar East,19.3101847,72.8526988
Bhayandar West,19.3101847,72.8526988
Boisar,19.7984865,72.761452
Borivali East,19.2267228,72.8619328
Borivali West,19.2298129,72.8471376
Byculla,18.9766219,72.8327936
Chembur,19.054818,72.8979713
Churchgate,18.9354797,72.8271741
Colaba,18.915091,72.8259691
Cuffe Parade,18.9157866,72.8189036
Cumballa Hill,18.968623,72.8068368
Dadar East,19.0162531,72.8522274
Dadar West,19.0192269,72.8428479
Dahisar East,19.2486925,72.8640593
Dahisar West,19.248875,72.852959
Ghatkopar East,19.0834898,72.9120255
Ghatkopar West,19.0897194,72.9045972
Girgaon,26.3652674,78.553631
Goregaon East,19.1692623,72.8552548
Goregaon West,19.1633281,72.8411995
Govandi,19.0553688,72.9150702
Jogeshwari East,19.1429335,72.8552066
Jogeshwari West,19.136394,72.8373817
Kamathipura,18.9653224,72.8264349
Kandivali East,19.2051958,72.8626165
Kandivali West,19.2055321,72.8399273
Kanjurmarg East,19.121721,72.9142882
Kanjurmarg West,19.124102,72.9385562
Khar West,19.0682411,72.8400412
Kurla East,19.0628944,72.8825604
Kurla West,19.0686026,72.876583
Lower Parel,18.99568,72.8302756
Madanpura,23.9163579,78.6320055
Madh,20.5180409,75.9885206
Mahalakshmi,18.9892129,72.8186798
Mahim,19.0423145,72.8398344
Malabar Hill,18.9581616,72.8033665
Malad East,19.1860219,72.8563181
Malad West,19.1852851,72.8358611
Marine Lines,18.945764,72.8237193
Matunga East,19.0274356,72.8501467
Matunga West,19.0314768,72.8468509
Mazgaon,18.9697337,72.8406201
Mira Road East,19.1878962, 72.8365955
Mulund East,19.1704719,72.9610447
Mulund West,19.1719717,72.9511956
Mumbai Central,18.9695855,72.8193152
Naigaon East,19.0137554,72.8462943
Nalasopara East,19.4174424,72.8175975
Nalasopara West,19.4174424,72.8175975
Palghar,19.757249,73.0931199
Parel,19.0094817,72.8376614
Powai,19.1187195,72.9073476
Prabhadevi,19.0074717,72.8358965
Sakinaka,19.098858,72.8809552
Santacruz East,19.0796105,72.8470573
Santacruz West,19.0844004,72.8372899
Sewri,18.9987796,72.8544218
Sion,46.2311749,7.3588795
Tardeo,18.9645237,72.8209188
Thane West,19.186483,72.9757664
Vasai East,19.4036749,72.8257906
Vasai West,19.4533576,72.8057966
Vikhroli East,19.1172592,72.9355194
Vikhroli West,19.114541,72.9257184
Vile Parle East,19.0962884,72.8483799
Vile Parle West,19.103908,72.840301
Virar East,19.4579689,72.8142138
Virar West,19.4533576,72.8057966
Wadala,20.5003708,77.2343103
Wadala East,19.0210175,72.8568955
Worli,18.9988404,72.8170327
others,55.7508886,37.6423064
